R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
3.089639298930374,6500397005.844154,39771.734887180806,6500357234.109267
3.2211789170292957,6500431495.91009,43230.21144367106,6500388265.698647
3.3583187587969157,6500468980.742185,46989.42695965371,6500421991.315225
3.501297250538496,6500509720.171987,51075.538475732894,6500458644.633511
3.6503629694222774,6500553996.521166,55516.952076359405,6500498479.56909
3.8057750756466135,6500602116.604886,60344.577451014025,6500541772.027435
3.9678037630064167,6500654413.7974615,65591.99271414748,6500588821.804748
4.1367307286421795,6500711250.353849,71295.70221795379,6500639954.651631
4.312849662788326,6500773019.888385,77495.3737070266,6500695524.514678
4.496466759372268,6500840150.108107,84234.13714304483,6500755915.9709635
4.687901248351963,6500913105.7416935,91558.869613588,6500821546.87208
4.887485950717428,6500992391.733601,99520.5185810508,6500892871.215019
5.095567857121124,6501078556.729908,108174.46957517318,6500970382.260333
5.312508731143184,6501172196.821726,117580.90411555364,6501054615.91761
5.538685738240317,6501273959.687531,127805.26558857928,6501146154.421943
5.7744921014718695,6501384548.9941025,138918.66898558722,6501245630.325117
6.020337785143039,6501504729.243835,150998.4137165331,6501353730.830119
6.276650207553765,6501635331.010872,164128.5149460339,6501471202.495926
6.543874984092558,6501777256.64946,178400.30369723748,6501598856.345762
6.822476701967074,6501931486.4659195,193913.0533928782,6501737573.412527
7.112939727918422,6502099085.408114,210774.64987636273,6501888310.758238
7.415769050323451,6502281210.381458,229102.3736233867,6502052108.007834
7.731491157149014,6502479118.13475,249023.69354828013,6502230094.441202
8.060654951284674,6502694173.864181,270677.17411693395,6502423496.690063
8.403832704845168,6502927860.496733,294213.4057483891,6502633647.090984
8.761621054101749,6503181788.83187,319796.0814983378,6502861992.750372
9.134642036772123,6503457708.502128,347603.1218673783,6503110105.38026
9.523544173472462,6503757519.897435,377827.9264300233,6503379691.971005
9.929003595211576,6504083287.056989,410680.6868281964,6503672606.37016
10.35172521888755,6504437251.713605,446389.86942068493,6503990861.844184
10.792443972830398,6504821848.526665,485203.82186909753,6504336644.704796
11.251926074521553,6505239721.550956,527392.4618074137,6504712329.0891485
11.730970362711512,6505693742.151334,573249.1612704693,6505120492.990064
12.23040968625166,6506187028.45487,623092.8143043622,6505563935.640566
12.751112352054703,6506722966.391951,677270.0271594668,6506045696.364791
13.293983634701316,6507305232.537672,736157.5198988048,6506569075.017774
13.859967350317334,6507937818.913879,800164.769558802,6507137654.1443205
14.45004749745795,6508625059.837615,869736.8371156497,6507755323.0005
15.065249967851477,6509371661.067042,945357.4771828635,6508426303.58986
15.706644329977186,6510182731.35778,1027552.4768452127,6509155178.880936
16.375345688577852,6511063816.706461,1116893.3219626343,6509946923.384499
17.072516623340064,6512020937.441879,1214001.1585473577,6510806936.283332
17.799369210112605,6513060628.453539,1319551.1301732424,6511741077.323365
18.557167128177174,6514189982.732903,1434277.0428738038,6512755705.690029
19.347227857234863,6515416698.575861,1558976.463464693,6513857722.112396
20.170924967928187,6516749130.737348,1694516.2818651337,6515054614.4554825
21.029690509880552,6518196345.792579,1841838.7100151058,6516354507.082563
